0,Civil in step guess pattern,339.53,4,True
1,If one may,480.28,7,True
2,Act range,243.67,0,False
3,Front sit your work,324.91,9,True
4,Several test morning,31.08,4,True
5,Thousand season program,48.73,3,True
6,Field eight,261.77,0,False
7,Say project,43.54,2,True
8,Seat traditional goal deal western,242.99,9,True
9,The mission,439.65,7,True
10,Leader hear cause,156.62,8,True
11,Too design,422.58,9,True
12,Situation star although,402.00,8,True
13,Movement hand since,45.67,1,True
14,Reflect win while,198.47,3,True
15,Important current,390.18,3,True
16,Pass federal church strong,141.38,6,True
17,Draw ten reflect including,321.17,6,True
18,Sell statement deal,429.05,5,True
19,Together painting value alone,96.62,2,True
20,Relationship no,107.47,7,True
21,Direction campaign Congress push,268.78,2,True
22,Out I,31.25,10,True
23,Him local sing money buy,237.06,5,True
24,Take machine them career,354.78,5,True
25,Force art culture protect,375.00,1,True
26,Significant debate front free,244.71,6,True
27,Court hot audience machine admit,100.00,3,True
28,Final might before,387.76,6,True
29,Community two back better,305.12,1,True
30,Hotel ever seek,324.64,9,True
31,Mission score stay question,330.12,10,True
32,Side after art tell,206.44,0,False
33,Not you work each,377.23,8,True
34,Past stage reach story case,138.23,1,True
35,Cause especially like,332.01,2,True
36,Go east trip,131.23,9,True
37,Just within,455.74,1,True
38,President heart follow game good,162.24,8,True
39,Product majority rest,100.06,0,False
40,Tend ground them,319.95,9,True
41,Third fight himself suddenly,464.03,2,True
42,Event trouble image wind party,135.02,5,True
43,Nor range,421.66,5,True
44,Development section medical effect mention,161.90,8,True
45,Performance gas wind,415.50,5,True
46,Her fly professional identify stand,331.68,1,True
47,Suddenly game least,443.18,8,True
48,Nation bar defense brother,166.70,0,False
49,Meet a growth bill,124.49,10,True
50,Enough accept stay,275.72,10,True
51,Term try wait,394.77,0,False
52,Hold leave provide story factor,64.49,0,False
53,Direction service ask,47.86,4,True
54,Front relate,219.14,1,True
55,Bill situation war,485.68,5,True
56,Moment price,400.86,4,True
57,Matter ever stock,108.78,7,True
58,Audience generation set,300.39,10,True
59,Tough adult possible,401.59,9,True
60,Your participant sit I cause,187.97,8,True
61,Civil avoid material line other,130.22,0,False
62,Enough American over road,406.44,8,True
63,Sure statement number PM,249.99,1,True
64,Tend any home,133.44,8,True
65,Fund cell change rock before,465.44,6,True
66,Teacher once,430.49,8,True
67,Use education too,288.07,1,True
68,List fire develop,402.56,2,True
69,Personal network nature cost,359.16,7,True
70,Newspaper up year particular,257.97,0,False
71,Clearly relate fire,254.50,9,True
72,Idea opportunity fish civil point,83.74,2,True
73,Simple between say statement,422.79,3,True
74,Police identify carry minute parent,269.13,6,True
75,Factor kind probably sound,327.40,6,True
76,Blood whose marriage kid,390.27,2,True
77,Woman strategy,321.44,2,True
78,Middle once news develop news,240.81,2,True
79,Work more,149.64,1,True
80,Man interview,455.91,4,True
81,Amount national war sense,296.67,5,True
82,Institution name perform themselves,36.11,3,True
83,Democratic political population,335.68,2,True
84,If during because share actually,157.51,7,True
85,Certain thus,186.97,9,True
86,Fill him protect,215.84,7,True
87,Food sure vote economic,176.40,9,True
88,Office score four,167.95,8,True
89,Central then prepare fight,100.03,8,True
90,Determine action who special,149.78,0,False
91,Would wind,263.42,5,True
92,Skill middle theory ok,143.02,2,True
93,Someone west,447.70,5,True
94,Soldier run,489.18,5,True
95,Oil popular order join future,382.50,10,True
96,Leg bring accept employee,58.45,1,True
97,Voice threat house her,273.79,0,False
98,In politics trouble,176.04,0,False
99,City condition who lead who,247.83,5,True
100,Present guy community,18.89,7,True
101,Environmental create health particular,270.14,3,True
102,Summer color information south,190.78,7,True
103,Often image crime,287.84,4,True
104,Point fine over red,439.91,9,True
105,Rest sound help day,353.26,7,True
106,Meet news economic make,365.94,7,True
107,Seven card safe,395.40,2,True
108,Wish raise,363.64,6,True
109,Heart that American,239.47,10,True
110,Surface TV it,33.53,7,True
111,Eat indicate part,229.73,9,True
112,Writer reach risk painting,65.44,4,True
113,Leave military daughter be cause,59.21,5,True
114,Region until American need outside,493.86,6,True
115,Environmental time option,0.84,10,True
116,Team better court name,21.49,9,True
117,Early surface between,410.71,3,True
118,Pretty second mind,420.82,2,True
119,Send affect economy be,231.37,4,True
120,American several theory people,100.77,0,False
121,Beat still politics,463.52,5,True
122,Beyond drop,42.80,2,True
123,Mouth dog magazine,312.77,1,True
124,North discuss respond today,263.48,7,True
125,Not prepare,209.10,5,True
126,Nation arm their,190.23,1,True
127,Grow story alone,169.70,3,True
128,Difference become push ball better,478.41,7,True
129,Physical identify garden piece,395.16,7,True
130,Myself carry,175.04,7,True
131,Particularly ground source dream,297.79,0,False
132,Detail spring away thing bed,91.53,7,True
133,This purpose wrong,343.78,1,True
134,Manage player,8.19,10,True
135,Small long,99.55,2,True
136,Daughter nice,366.02,3,True
137,Where Mrs,2.25,6,True
138,Southern size run reason act,236.66,6,True
139,Site should keep,373.22,7,True
140,Avoid less food,428.49,1,True
141,Consider treat road science,159.22,6,True
142,Environment president station visit indeed,378.93,1,True
143,Until across must father,199.72,7,True
144,Green understand media each,463.46,3,True
145,Film these issue,142.36,2,True
146,Drug partner,104.71,8,True
147,Today matter partner necessary,445.05,0,False
148,Beyond such offer much charge,291.84,10,True
149,Size center pretty,132.78,9,True
150,Family challenge effort natural,213.26,3,True
151,Meet career,140.75,5,True
152,Enough walk despite,415.95,0,False
153,Owner avoid especially writer air,193.53,7,True
154,Hear remember similar rise employee,276.37,10,True
155,Officer about student half,63.48,5,True
156,Marriage look hand somebody citizen,202.75,3,True
157,Yes cause,464.25,4,True
158,Let reveal difficult,31.66,2,True
159,Out whom free,403.84,9,True
160,Low plan education,492.50,6,True
161,Visit article,36.59,3,True
162,With style kind win,375.58,10,True
163,Week along change determine,385.09,0,False
164,Mrs usually,456.69,5,True
165,Gun describe,280.09,9,True
166,Smile serious final,113.62,10,True
167,Set unit gas,320.06,0,False
168,First Mr another travel,8.23,8,True
169,Drop quickly,283.70,8,True
170,Arrive kind by,476.96,0,False
171,Laugh door list,499.85,5,True
172,Involve of service drive attack,375.48,7,True
173,Product eye remain ten,309.33,0,False
174,Spring different level,45.50,5,True
175,Market research,230.84,7,True
176,Ever quality,103.22,9,True
177,Effect message west take black,208.48,8,True
178,Sign politics,135.33,6,True
179,Large important word effect,401.13,2,True
180,Most new oil special success,162.23,6,True
181,Require along speech food seat,6.03,0,False
182,Hand avoid suffer,110.82,9,True
183,Type get myself industry billion,478.63,2,True
184,Own grow computer long,3.00,4,True
185,Moment natural computer,201.77,7,True
186,Support data happen try gun,279.55,8,True
187,Trial water exist,309.12,0,False
188,Sell hope,332.82,6,True
189,Yes responsibility heavy,446.67,10,True
190,Quickly foot,419.31,5,True
191,Former opportunity article alone kid,209.63,4,True
192,Others beautiful adult,130.11,1,True
193,Mother section officer,117.21,7,True
194,Should think stay special,47.19,1,True
195,What someone,196.62,6,True
196,Floor very mother,363.24,4,True
197,Raise staff why college,257.75,4,True
198,Bit hope service,437.44,1,True
199,Hear or work,346.96,5,True
