0,65,1642,1983-03-18 04:07:09,14
1,84,1396,2000-02-15 04:44:51,5
2,39,1529,1997-08-09 11:13:04,15
3,96,1042,2023-06-20 15:03:30,9
4,74,1230,1993-12-11 18:12:41,1
5,91,1638,2016-04-13 11:08:53,17
6,84,1953,2020-06-25 18:40:19,20
7,65,1303,2016-06-12 22:59:22,4
8,88,410,1974-03-21 06:31:00,11
9,15,1631,1995-04-07 07:01:34,6
10,49,333,1972-11-19 03:48:42,9
11,65,1542,1972-10-04 11:13:37,11
12,15,270,1996-06-28 10:05:25,16
13,13,899,1973-06-19 16:12:51,5
14,66,1437,2017-08-28 13:04:44,14
15,66,96,1982-01-14 11:04:13,13
16,84,1892,1972-04-25 09:59:19,7
17,66,1752,2020-06-21 10:57:24,18
18,49,785,2020-08-18 09:35:40,19
19,49,375,2011-03-07 16:05:58,15
20,39,1153,2008-02-09 00:13:36,11
21,47,1282,2013-06-16 18:01:34,10
22,96,1459,1998-02-23 11:19:47,4
23,66,1259,2019-10-22 01:16:48,8
24,88,1829,2010-07-18 08:27:30,20
25,84,15,1990-08-23 01:25:52,7
26,49,586,2013-06-23 13:15:34,14
27,50,969,2023-03-01 02:36:13,10
28,15,1593,1989-01-20 16:26:49,18
29,49,345,1974-05-09 17:18:29,14
30,15,1376,1991-09-02 23:33:38,15
31,53,1372,2023-09-04 12:27:36,17
32,15,741,2020-02-24 07:00:21,4
33,13,1189,1984-09-21 22:45:01,4
34,74,366,1980-11-07 04:03:48,3
35,96,930,2021-03-27 08:21:18,2
36,74,836,2004-10-26 01:27:25,11
37,91,905,1978-02-28 09:54:21,16
38,39,778,2015-04-21 01:07:02,18
39,84,853,2007-01-17 04:17:55,17
40,91,1176,1981-09-24 04:50:34,7
41,47,1975,2004-03-26 12:51:37,15
42,47,786,1996-09-24 01:41:06,12
43,15,1682,1980-02-20 03:37:15,17
44,74,825,1982-08-25 16:55:46,16
45,50,1030,1993-09-07 00:50:46,20
46,53,500,1993-08-21 16:57:56,8
47,36,651,1980-06-28 07:50:11,8
48,15,1344,2010-04-08 20:55:58,9
49,49,1228,2002-03-28 07:44:22,9
50,38,1827,2020-05-31 16:55:18,19
51,13,685,2003-06-08 07:34:20,8
52,13,1304,1979-06-28 23:44:57,2
53,50,1100,2013-11-09 04:18:03,11
54,9,1643,2010-12-08 09:22:26,19
55,50,199,2013-02-24 08:43:34,3
56,47,1518,1994-03-14 10:00:13,16
57,39,926,1982-09-15 18:06:43,14
58,88,929,2015-03-19 21:31:16,13
59,53,1944,1984-02-22 07:16:55,9
60,9,714,1973-09-21 06:14:06,6
61,13,1320,1987-10-02 19:50:32,4
62,15,874,2018-05-31 17:27:28,13
63,53,1480,1976-05-20 11:59:20,9
64,13,1338,1974-01-07 00:20:51,17
65,88,1870,1992-10-23 07:10:56,1
66,88,55,2018-03-20 03:28:07,1
67,74,766,1971-06-04 12:59:15,20
68,91,1005,1977-06-14 13:48:06,15
69,53,332,1987-07-04 05:23:35,15
70,50,933,2012-11-28 21:24:32,16
71,36,1167,1984-10-31 19:34:04,6
72,15,1879,1981-09-29 05:55:05,15
73,47,1466,2004-08-02 06:33:41,18
74,15,1157,1993-01-27 13:52:10,10
75,38,1159,1971-05-27 15:08:10,6
76,96,1705,2001-06-30 19:11:42,5
77,88,1745,2017-03-14 03:04:30,20
78,84,1536,2013-08-05 17:37:13,5
79,47,308,1980-05-15 02:57:35,12
80,9,230,1984-01-11 12:00:46,10
81,13,1754,2009-08-22 08:54:07,1
82,47,218,2001-03-06 07:52:50,3
83,9,1020,2014-09-02 19:19:07,10
84,74,254,2016-06-15 16:51:14,11
85,88,468,1971-12-15 10:46:25,6
86,91,1843,2012-06-07 16:36:30,4
87,66,18,1983-03-27 00:18:52,1
88,84,1048,2010-04-24 07:09:17,1
89,91,1856,1991-02-20 08:07:46,9
90,50,1786,2017-08-25 08:35:55,7
91,66,1353,1979-04-28 00:34:20,14
92,50,1209,2010-10-01 05:39:41,5
93,74,759,1993-11-07 07:20:46,3
94,47,726,2000-06-22 21:49:56,17
95,88,1221,2011-07-19 17:22:25,14
96,13,1150,1998-12-23 08:27:09,15
97,53,1411,1999-02-08 03:54:39,4
98,74,1511,2012-03-05 01:03:54,16
99,66,988,2023-06-17 08:34:40,13
100,9,1158,2019-04-17 17:52:07,6
101,65,93,1977-10-07 22:29:09,18
102,96,1355,2019-07-02 06:10:08,7
103,88,828,1991-07-18 10:06:56,9
104,65,37,1995-12-14 09:16:38,4
105,50,74,1972-07-06 03:31:52,5
106,50,819,1976-12-04 02:55:43,4
107,53,1168,1975-03-29 14:54:38,19
108,96,1208,2015-07-03 04:28:47,11
109,49,1335,1977-07-20 14:23:41,8
110,96,207,2019-04-11 18:51:57,5
111,84,349,1972-03-01 02:32:18,10
112,84,436,1995-02-16 09:17:52,17
113,53,110,2003-12-15 16:44:43,12
114,74,382,1982-01-27 07:43:29,10
115,13,638,1974-09-25 09:00:57,5
116,13,974,1979-04-28 23:48:40,9
117,53,1829,1992-03-06 04:05:02,2
118,15,775,1974-03-09 05:48:00,13
119,47,825,2012-06-12 00:09:08,5
120,13,1821,2023-01-03 11:46:47,9
121,53,1088,1980-04-26 04:17:06,18
122,84,294,1990-07-31 01:09:01,13
123,53,103,1977-01-18 13:43:24,8
124,88,64,1979-02-03 14:23:31,2
125,53,418,1970-02-15 05:02:08,14
126,15,515,2002-11-25 01:57:59,20
127,15,982,1970-11-03 11:10:46,19
128,74,1375,2009-09-24 21:04:46,17
129,13,1866,2011-08-29 21:12:45,14
130,47,1939,2013-03-17 01:52:42,11
131,66,1078,2022-03-06 09:43:27,13
132,49,103,2012-06-15 23:51:59,6
133,15,1822,1974-05-19 20:27:59,8
134,66,774,1975-12-23 00:51:38,19
135,84,1456,1981-07-04 01:46:13,6
136,15,987,1977-10-08 03:53:53,2
137,13,1597,2019-02-11 11:11:28,5
138,39,357,1993-10-29 16:00:17,17
139,36,1954,1976-12-29 07:36:30,18
140,53,451,2022-10-06 06:29:17,11
141,65,112,2012-07-04 21:55:30,7
142,84,1299,2007-07-17 23:01:00,4
143,9,1000,1975-12-06 06:12:59,15
144,49,810,1998-02-03 00:02:27,18
145,47,1660,1970-12-12 06:03:53,13
146,66,1737,1976-03-23 19:25:33,11
147,53,1949,1985-12-14 00:40:42,15
148,96,1734,1980-08-31 20:35:52,15
149,13,1224,1983-04-05 17:16:48,9
150,65,798,1985-04-16 16:51:53,8
151,15,1680,2023-02-26 12:05:08,15
