0,0,79,Gary hates this seller!,2,3,1972-06-27 17:47:40
1,0,20,Gary likes this seller!,4,67,2002-10-19 03:54:32
2,0,78,Gary adores this seller!,5,72,2022-02-24 16:16:55
3,0,52,Gary could care less either way about this seller!,3,91,2004-03-06 04:54:35
4,0,46,Gary hates this seller!,2,67,1992-06-03 22:56:58
5,0,82,Gary likes this seller!,4,5,2012-03-22 14:56:35
6,0,54,Gary adores this seller!,5,43,1983-09-24 09:45:52
7,0,84,Gary adores this seller!,5,14,1982-09-05 19:29:32
8,0,53,Gary abhors this seller!,1,95,2007-02-16 13:02:50
9,0,37,Gary adores this seller!,5,19,1973-08-04 16:25:33
10,0,26,Gary adores this seller!,5,75,2013-01-14 19:12:00
11,0,51,Gary abhors this seller!,1,14,1990-02-05 13:51:04
12,0,74,Gary could care less either way about this seller!,3,92,1998-08-27 22:10:06
13,0,64,Gary could care less either way about this seller!,3,7,2002-03-27 21:26:43
14,0,90,Gary likes this seller!,4,53,2019-09-12 03:24:47
15,0,28,Gary adores this seller!,5,27,2003-01-13 00:52:35
16,0,92,Gary hates this seller!,2,12,2016-04-07 23:34:21
17,0,58,Gary likes this seller!,4,97,2011-08-08 10:59:50
18,0,10,Gary adores this seller!,5,37,1990-03-22 17:27:54
19,0,1,Gary hates this seller!,2,42,1994-08-11 02:14:07
20,1,79,Denise likes this seller!,4,21,2006-07-29 04:20:53
21,1,20,Denise hates this seller!,2,2,1974-03-12 07:05:48
22,1,78,Denise adores this seller!,5,61,2010-05-22 13:47:14
23,1,52,Denise could care less either way about this seller!,3,79,1980-10-25 01:58:18
24,1,46,Denise likes this seller!,4,57,2010-05-21 10:16:04
25,1,82,Denise adores this seller!,5,49,1981-03-02 12:14:31
26,1,54,Denise abhors this seller!,1,86,2001-10-31 10:11:58
27,1,84,Denise abhors this seller!,1,43,1983-07-07 16:49:15
28,1,53,Denise adores this seller!,5,38,2023-01-21 09:04:00
29,1,37,Denise could care less either way about this seller!,3,68,1986-09-25 11:45:06
30,1,26,Denise adores this seller!,5,98,2023-03-26 08:43:26
31,1,51,Denise adores this seller!,5,37,2012-02-03 00:58:49
32,1,74,Denise adores this seller!,5,70,2016-04-26 16:53:39
33,1,64,Denise adores this seller!,5,59,2002-08-18 07:25:20
34,1,90,Denise could care less either way about this seller!,3,80,2000-08-19 14:28:08
35,1,28,Denise could care less either way about this seller!,3,19,1971-04-01 17:19:07
36,1,92,Denise likes this seller!,4,46,1973-11-03 01:46:01
37,1,58,Denise hates this seller!,2,10,2011-08-15 06:46:31
38,1,10,Denise adores this seller!,5,73,1981-12-18 21:29:58
39,1,1,Denise abhors this seller!,1,76,1998-11-20 06:46:20
40,2,79,Christina could care less either way about this seller!,3,79,1988-06-19 04:06:35
41,2,20,Christina could care less either way about this seller!,3,66,2010-12-11 12:08:07
42,2,78,Christina adores this seller!,5,96,1986-01-30 09:48:26
43,2,52,Christina likes this seller!,4,3,1993-01-11 06:54:28
44,2,46,Christina likes this seller!,4,9,2019-04-16 11:30:31
45,2,82,Christina could care less either way about this seller!,3,52,2012-03-09 19:24:59
46,2,54,Christina abhors this seller!,1,48,1973-10-18 18:08:55
47,2,84,Christina likes this seller!,4,74,2000-06-10 13:15:19
48,2,53,Christina adores this seller!,5,81,1986-06-08 08:47:33
49,2,37,Christina abhors this seller!,1,53,1995-06-17 01:06:43
50,2,26,Christina could care less either way about this seller!,3,20,2005-07-27 07:10:52
51,2,51,Christina could care less either way about this seller!,3,94,1978-06-10 09:07:35
52,2,74,Christina adores this seller!,5,61,1976-11-19 07:39:49
53,2,64,Christina abhors this seller!,1,19,1982-10-16 04:40:43
54,2,90,Christina likes this seller!,4,11,1970-05-09 00:31:43
55,2,28,Christina could care less either way about this seller!,3,98,2020-04-12 23:19:11
56,2,92,Christina hates this seller!,2,14,1982-05-15 16:30:25
57,2,58,Christina adores this seller!,5,0,1990-05-18 07:34:51
58,2,10,Christina hates this seller!,2,41,1995-11-03 14:57:00
59,2,1,Christina could care less either way about this seller!,3,61,2007-08-10 09:25:50
60,3,79,Kathleen likes this seller!,4,40,1989-01-30 11:33:27
61,3,20,Kathleen likes this seller!,4,49,1977-07-31 22:17:22
62,3,78,Kathleen abhors this seller!,1,23,1975-08-29 23:40:27
63,3,52,Kathleen likes this seller!,4,54,1985-07-08 01:33:32
64,3,46,Kathleen abhors this seller!,1,77,1990-09-23 14:57:22
65,3,82,Kathleen abhors this seller!,1,18,1974-03-08 22:37:04
66,3,54,Kathleen likes this seller!,4,75,2016-07-22 12:46:32
67,3,84,Kathleen likes this seller!,4,67,2016-11-12 02:46:07
68,3,53,Kathleen likes this seller!,4,6,2022-04-03 00:38:16
69,3,37,Kathleen adores this seller!,5,90,1977-12-28 01:59:33
70,3,26,Kathleen adores this seller!,5,73,2020-07-21 18:09:36
71,3,51,Kathleen hates this seller!,2,15,2006-07-23 01:48:48
72,3,74,Kathleen likes this seller!,4,71,1996-07-30 10:06:25
