"0","Civil in step guess pattern","339.53","false"
"1","If one may","480.28","false"
"2","Act range","243.67","true"
"3","Front sit your work","324.91","false"
"4","Test morning article attack fast","94.34","true"
"5","Behind number","17.38","false"
"6","Be part allow","377.16","true"
"7","Interesting religious","303.95","false"
"8","Deal western","242.99","true"
"9","Development wear leg citizen owner","127.17","true"
"10","Magazine mean represent","460.51","true"
"11","Stay law call seem","197.05","true"
"12","Easy often all capital","268.13","true"
"13","Home deal important","101.91","true"
"14","Likely improve good","376.92","false"
"15","Red however draw","442.31","true"
"16","Price trouble if example","467.26","true"
"17","Fish future","341.77","true"
"18","Could maintain position","23.90","true"
"19","Subject hard usually direction campaign","92.86","false"
"20","Past spend research out I","31.25","false"
"21","Local sing money","63.33","false"
"22","Still fire","437.06","false"
"23","Them career realize","315.45","false"
"24","Probably base open scene","459.00","true"
"25","Significant debate front free","244.71","false"
"26","Court hot audience machine admit","100.00","true"
"27","Final might before","387.76","false"
"28","Community two back better","305.12","true"
"29","Hotel ever seek","324.64","false"
"30","Name sound still for best","459.43","false"
"31","Establish process","17.51","false"
"32","Line go","464.23","true"
"33","Meet other close","140.87","false"
"34","Case establish cost buy","113.17","true"
"35","Last generation across","100.44","true"
"36","Trip election","95.73","true"
"37","Employee grow ok physical","493.48","false"
"38","Husband heavy stuff cover","465.38","false"
"39","Another everything those","495.20","false"
"40","Treatment early wait","12.19","false"
"41","Trouble image wind","313.85","false"
"42","Risk whether","55.72","false"
"43","Statement religious force us","114.92","true"
"44","Adult coach represent","382.26","false"
"45","Each technology hot tax","193.41","false"
"46","Identify stand positive record","496.35","true"
"47","Student treatment challenge vote","249.69","true"
"48","Defense brother foot","8.43","true"
"49","Growth bill during","340.29","false"
"50","Accept stay","275.72","false"
"51","Try wait side part","488.73","false"
"52","Leave provide story","149.16","false"
"53","Design institution","337.08","true"
"54","Author somebody car","58.14","true"
"55","Company cover","102.68","false"
"56","Moment price","400.86","false"
"57","Matter ever stock","108.78","false"
"58","Audience generation set","300.39","true"
"59","Adult possible six","239.99","false"
"60","Star difficult sea other set","260.65","true"
"61","Avoid material line other","130.22","true"
"62","Enough American over road","406.44","false"
"63","Statement number PM main","63.25","true"
"64","Home employee month fund","71.42","true"
"65","Rock before training","204.13","false"
"66","Center hope executive weight group","83.72","true"
"67","Create behavior","442.28","false"
"68","Collection personal network nature","95.62","true"
"69","Loss safe growth range","346.64","true"
"70","Clearly relate fire","254.50","false"
"71","Opportunity fish","81.33","true"
"72","Collection sure simple between say","421.78","true"
"73","Police identify carry minute parent","269.13","false"
"74","Factor kind probably sound","327.40","false"
"75","Blood whose marriage kid","390.27","true"
"76","Woman strategy","321.44","true"
"77","Middle once news develop news","240.81","true"
"78","Work more","149.64","true"
"79","Man interview","455.91","false"
"80","Amount national war sense","296.67","false"
"81","Institution name perform themselves","36.11","true"
"82","Democratic political population","335.68","true"
"83","If during because share actually","157.51","false"
"84","Certain thus","186.97","true"
"85","Certainly worker receive","339.62","false"
"86","Result nothing college thought","458.40","true"
"87","Image him soldier suddenly myself","208.18","false"
"88","Prepare fight","100.03","false"
"89","Figure produce across","466.37","true"
"90","Would wind","263.42","false"
"91","Skill middle theory ok","143.02","true"
"92","Someone west","447.70","false"
"93","Soldier run","489.18","false"
"94","Oil popular order join future","382.50","false"
"95","Put money kind quickly","183.09","false"
"96","Threat house her move","0.22","false"
"97","Generation almost score city","91.58","false"
"98","Low Republican since present guy","88.63","true"
"99","Skill environmental create health","312.67","true"
"100","Work writer summer","87.03","false"
"101","Write pattern concern toward fast","417.71","false"
"102","Point fine over red","439.91","false"
"103","Help day","353.26","false"
"104","Meet news economic make","365.94","false"
"105","Seven card safe","395.40","true"
"106","Wish raise","363.64","false"
"107","Heart that American","239.47","false"
"108","Tv it ask information","380.38","true"
"109","Indicate part","229.73","false"
"110","Reach risk painting camera","157.73","false"
"111","Military daughter be","71.32","true"
"112","Growth mention local","296.05","true"
"113","Plant environmental time option","0.84","false"
"114","Better court name among","198.91","false"
"115","Call newspaper get","285.26","true"
"116","Include positive join plant ever","432.10","true"
"117","Far sing hand industry","484.04","true"
"118","Parent certain cut","261.82","false"
"119","Recent blue politics firm","320.22","true"
"120","Someone relate modern owner it","262.29","false"
"121","Method know not","333.96","false"
"122","General family","378.07","true"
"123","Consumer better grow story","17.96","false"
"124","Wait occur first test senior","28.12","false"
"125","Hospital ready marriage grow","23.98","true"
"126","Behavior game including all","471.52","true"
"127","Level let great performance","397.01","true"
"128","Away thing bed concern worker","123.99","false"
"129","Provide blue manage player administration","79.88","true"
"130","Care its someone point","104.21","true"
"131","Wish where Mrs","2.25","false"
"132","Southern size run reason act","236.66","false"
"133","Site should keep","373.22","false"
"134","Avoid less food","428.49","true"
"135","Consider treat road science","159.22","false"
"136","Environment president station visit indeed","378.93","true"
"137","Until across must father","199.72","false"
"138","Green understand media each","463.46","true"
"139","Film these issue","142.36","true"
"140","Drug partner","104.71","false"
"141","Area probably line and","357.92","true"
"142","Offer much charge","291.84","false"
"143","Player degree window","465.73","false"
"144","Exactly reach difficult","364.53","true"
"145","Strong always single","444.35","false"
"146","Enough walk despite","415.95","true"
"147","Owner avoid especially writer air","193.53","false"
"148","Hear remember similar rise employee","276.37","false"
"149","Fact safe about response heart","417.45","false"
"150","Reflect new choose adult","302.31","true"
"151","Third situation customer","140.59","false"
"152","Few mind soon","306.45","false"
"153","Work low plan education which","209.05","false"
"154","Herself less","415.26","false"
"155","Style kind","498.93","false"
"156","Week along change determine","385.09","true"
"157","Mrs usually","456.69","false"
"158","Gun describe","280.09","true"
"159","Final develop turn","248.81","true"
"160","Unit gas personal","499.06","true"
"161","First Mr another travel","8.23","true"
"162","Major six your","256.30","true"
"163","Kind by us","22.21","false"
"164","Throughout believe project","366.93","false"
"165","Involve of service drive attack","375.48","false"
"166","Product eye remain ten","309.33","true"
"167","Spring different level","45.50","false"
"168","Market research","230.84","false"
"169","Ever quality","103.22","false"
"170","Message west take","54.52","false"
"171","These which sign politics enter","135.54","false"
"172","Impact relationship individual though","52.19","false"
"173","Fish hundred","371.88","false"
"174","Recently similar","347.95","true"
"175","Actually hand","38.26","true"
"176","Position onto control","281.69","false"
"177","Something really manage read","451.54","true"
"178","Western only four a","107.67","true"
"179","Parent nor make development","247.75","false"
"180","Issue far job edge majority","48.94","true"
"181","Sell hope","332.82","false"
"182","Yes responsibility heavy","446.67","true"
"183","Market east movie present","317.07","true"
"184","Kid important risk","144.76","true"
"185","Ten bed","426.13","true"
"186","Teach with food clearly society","392.15","false"
"187","Behavior the","63.13","false"
"188","History floor very mother","363.24","false"
"189","Raise staff why college","257.75","false"
"190","Bit hope service","437.44","true"
"191","Hear or work","346.96","false"
"192","Able where","355.94","true"
"193","Authority prepare yes","57.72","false"
"194","Apply spring blood response","192.26","false"
"195","Charge lead music","383.15","true"
"196","Such language company sea television","80.76","true"
"197","Job successful animal","287.09","false"
"198","Until say least","411.88","false"
"199","Hotel thank","109.74","false"
"200","Truth become build","206.95","true"
"201","Address guy month","289.03","false"
"202","Case case","38.57","false"
"203","Whose worry close","362.87","false"
"204","Take reach","164.91","false"
"205","Water nature boy reach","122.24","false"
"206","Understand others baby dream","149.91","false"
"207","Important social artist","200.35","true"
"208","Bill both after analysis","492.49","true"
"209","Behind successful of why","105.31","true"
"210","Authority probably","111.99","true"
"211","Task much region give","341.91","true"
"212","Home order indicate force","77.00","true"
"213","I within candidate","434.99","false"
"214","Professional positive must","22.53","false"
"215","Theory increase concern","334.30","false"
"216","Push first crime onto","419.48","true"
"217","Show take no pick","126.95","false"
"218","Song onto","185.41","false"
"219","Important school kind consumer beat","187.86","false"
"220","Some although middle","352.81","true"
"221","Teach note word be","484.35","true"
"222","Whatever ten far available","39.76","true"
"223","Build assume each argue no","172.88","true"
"224","Skin sense","423.22","false"
"225","Employee listen require","125.89","true"
"226","Degree crime management","130.01","true"
"227","Discover through feel","126.41","true"
"228","Beat trouble matter spend beat","119.85","false"
"229","Always address successful","157.33","false"
"230","Thousand career professor ready","328.14","false"
"231","Group now bill know","447.54","true"
"232","Bit knowledge coach owner","290.52","true"
"233","Claim up behavior","455.24","false"
"234","Social some man","257.76","true"
"235","Everyone involve never only","144.54","true"
"236","Reveal bad experience","259.83","true"
"237","Wonder until","302.67","true"
"238","Enjoy best","195.85","false"
"239","Language address social","83.45","false"
"240","Deep goal sing","75.83","false"
"241","Management continue force","351.01","true"
"242","Stand baby just","273.30","false"
"243","Language Mrs raise","54.54","false"
"244","Official up material country continue","15.55","true"
"245","Or box citizen former","153.67","true"
"246","Career including control reason amount","156.98","true"
"247","Top just mind","272.99","true"
"248","Walk actually continue number imagine","66.57","false"
"249","Meet small road wind","343.93","false"
"250","Become assume police sister","331.10","true"
"251","That his hotel require","96.43","false"
"252","Firm card","150.73","true"
"253","Argue cold ever","206.77","false"
"254","Response cultural lot player","165.22","true"
