0,53,1341,2004-05-06 08:52:39
1,78,348,2003-03-23 00:01:52
2,84,956,1988-05-20 03:16:03
3,90,435,2018-06-10 17:34:24
4,84,1719,2021-09-15 00:48:48
5,20,1475,1994-11-03 07:35:54
6,54,1520,1974-12-25 15:15:52
7,79,1202,2011-01-23 10:43:20
8,52,328,1970-06-06 01:02:43
9,54,140,2019-05-02 18:28:43
10,52,1907,1999-12-23 08:03:29
11,10,114,2005-12-05 00:57:25
12,26,1246,1993-01-19 00:18:19
13,37,682,1987-04-02 15:36:15
14,74,1139,1973-03-02 08:25:40
15,51,484,1999-06-20 23:00:31
16,52,1240,1992-10-20 18:01:54
17,20,688,1998-02-13 17:22:16
18,82,614,2011-02-02 22:04:32
19,84,1054,1996-04-20 16:10:40
20,37,592,1977-03-30 21:27:57
21,78,395,2010-08-14 14:09:56
22,54,1837,1971-02-07 11:00:28
23,84,1380,2015-03-22 14:14:11
24,46,974,2006-08-10 20:28:22
25,84,1160,2015-06-21 04:14:30
26,64,660,1998-03-07 12:52:34
27,74,1408,1989-04-10 03:43:55
28,46,31,1986-12-14 10:32:26
29,51,330,2004-10-30 14:31:08
30,37,1096,2010-11-10 00:14:19
31,54,1952,1993-05-27 13:44:16
32,52,1601,2017-11-20 16:53:28
33,74,674,2000-01-03 22:05:37
34,52,1857,2017-06-06 01:08:20
35,90,1003,1974-01-02 19:37:12
36,37,1562,2020-12-06 00:56:01
37,84,348,2009-10-06 04:54:32
38,46,1911,1992-03-20 23:02:35
39,92,374,1986-12-12 12:54:20
40,51,385,1987-06-23 00:55:01
41,82,1878,2017-12-21 18:22:50
42,10,1802,1990-04-24 20:19:02
43,28,885,1975-10-12 06:35:27
44,53,700,2014-11-05 07:19:05
45,82,1684,2001-01-05 13:18:19
46,10,910,1998-07-13 10:06:39
47,26,977,2018-07-26 12:53:06
48,1,272,2023-01-30 19:50:39
49,53,211,1989-02-19 00:04:15
50,74,1145,1985-11-02 06:24:25
51,10,1710,1988-07-31 16:51:49
52,54,1396,2005-01-25 20:56:43
53,58,498,1987-09-07 08:00:03
54,37,311,2021-05-04 15:06:57
55,84,629,1975-12-30 02:54:54
56,58,1225,1975-10-05 11:54:58
57,28,1083,2014-07-13 20:00:44
58,53,561,1983-02-28 16:35:18
59,53,1711,1992-05-08 23:52:48
60,74,1542,1973-09-29 20:41:09
61,74,1992,1975-02-03 02:23:41
62,82,1628,2003-10-24 13:47:33
63,1,1085,1972-05-22 21:33:00
64,1,256,1991-05-23 06:54:18
65,74,281,2009-01-01 20:40:39
66,84,578,1978-07-04 06:15:32
67,58,651,1992-02-19 02:43:45
68,64,856,1997-11-08 05:27:36
69,84,1900,2014-04-26 05:51:05
70,26,626,1992-09-27 03:09:01
71,53,929,1997-10-21 03:45:29
72,10,235,1971-11-02 22:49:11
73,52,889,1998-02-11 22:33:22
74,78,1287,1992-06-17 23:53:12
75,26,489,2009-02-01 16:16:45
76,79,1516,2022-06-24 19:08:30
77,53,1885,2006-07-16 05:31:44
78,46,454,1980-10-06 14:07:43
79,58,1963,1998-03-11 21:14:58
80,28,1133,1997-11-25 05:28:55
81,90,185,2020-01-30 21:00:36
82,10,1344,1992-12-21 10:19:04
83,46,1741,1978-09-18 07:36:53
84,10,655,1987-06-10 18:49:21
85,82,1572,2004-07-04 18:46:11
86,90,1687,1991-04-19 09:01:22
87,54,1296,2003-01-11 14:30:12
88,82,1428,1993-11-17 15:37:33
89,52,163,1998-05-29 05:19:04
90,79,274,1970-02-12 10:43:30
91,20,45,1976-08-20 01:34:51
92,28,282,2015-08-16 13:31:00
93,46,140,1995-07-22 01:12:50
94,92,1422,1981-11-19 06:16:22
95,52,101,1977-06-25 06:02:54
96,74,980,2022-03-22 16:00:47
97,1,1382,1991-09-12 07:33:05
98,82,1228,1970-12-01 15:01:21
99,84,847,2016-07-18 09:25:22
100,1,593,2022-09-17 20:06:24
101,92,1541,2016-04-25 15:43:51
102,46,1573,1984-01-18 08:52:44
103,51,1163,2009-10-05 20:45:20
104,26,1795,1970-07-15 21:17:38
105,84,103,2013-01-17 09:29:34
106,74,281,1988-05-30 19:34:04
107,74,1328,1970-02-10 10:56:42
108,90,1173,1990-08-16 14:57:59
109,51,207,2000-07-18 22:12:31
110,90,712,2017-10-07 02:21:29
111,10,1512,1974-11-08 10:16:30
112,82,976,2020-02-02 07:39:48
113,78,922,1984-07-07 15:44:02
114,51,1070,1987-05-28 19:25:34
115,37,1934,1984-09-09 08:37:17
116,28,297,2003-10-08 23:04:41
117,64,44,1989-09-14 04:38:56
118,37,564,1980-01-06 12:08:52
119,51,384,2009-04-28 02:53:24
120,58,1530,1972-02-17 22:44:32
121,84,250,1987-11-28 02:16:02
122,26,1489,1988-06-16 21:49:34
123,54,593,2004-06-30 21:12:20
124,53,723,2013-03-09 21:17:59
125,1,1735,2006-04-03 16:04:38
126,53,113,1975-11-29 14:40:03
127,20,1744,1990-09-18 03:47:00
128,26,1642,1980-07-20 12:40:01
129,53,758,1976-11-02 07:56:56
130,52,1314,2008-01-05 09:39:01
131,20,1182,2008-03-15 14:39:09
132,74,1334,1980-12-17 11:40:13
133,28,1220,1991-09-17 00:13:53
134,53,1805,1995-12-09 04:47:11
135,26,1771,1980-11-28 06:58:30
136,53,1074,1988-04-21 10:01:38
137,46,582,2002-11-03 06:19:38
138,74,1522,1989-07-09 05:27:21
139,84,345,1986-01-24 14:30:09
140,1,1959,2008-01-19 23:27:04
141,84,1963,1990-04-19 13:03:11
142,37,870,1974-01-24 13:36:42
143,74,120,1975-04-03 12:17:24
144,46,975,2003-06-22 07:30:01
145,10,150,1991-09-16 00:06:40
146,1,1809,1989-09-02 04:46:23
147,53,514,2000-11-27 04:56:37
148,51,911,2021-10-07 16:01:58
149,1,29,2015-08-07 19:04:27
150,46,63,1977-01-13 17:22:27
151,90,544,1995-08-20 08:42:37
152,54,270,1971-10-27 14:05:54
153,51,3,1981-05-24 12:27:18
154,20,336,1979-09-17 19:14:08
155,84,186,2015-11-20 09:57:53
156,52,110,1970-01-12 10:35:10
157,84,1751,2022-10-25 10:03:21
158,52,1005,2022-03-19 17:46:06
159,90,525,2006-05-08 07:10:30
160,74,1669,2006-11-25 06:55:12
161,82,1076,2005-07-04 15:54:19
162,1,1020,2019-09-27 20:14:26
163,92,602,1979-11-20 20:32:39
164,64,581,1995-10-20 02:09:47
165,64,1707,2004-03-11 01:10:34
166,74,1986,2014-11-06 21:08:33
167,92,396,1999-12-16 13:45:08
168,1,1813,2005-09-14 19:02:57
169,54,685,1978-01-16 21:31:47
170,1,904,1990-06-23 11:28:42
